3; ./256ED ./ED256/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
1    76  83.2568   0.943921    15.2217   118.4   
1    77  83.6898   0.919084    14.8211   118.4   
1    78  83.459    0.954317    15.3893   118.4   
1    79  84.03     0.94144     15.1817   118.4   
1    80  83.939    0.95015     15.3221   118.4   
1    81  84.5772   0.911972    14.7065   118.4   
1    82  84.157    0.941858    15.1884   118.4   
1    83  83.78     0.949365    15.3095   118.4   
1    84  84.2136   0.931719    15.0249   118.4   
1    85  83.7492   0.959781    15.4774   118.4   
1    86  83.7634   0.931862    15.0272   118.4   
1    87  83.82     0.939798    15.1552   118.4   
1    88  84.0398   0.934236    15.0655   118.4   
1    89  83.7978   0.956907    15.4311   118.4   
1    90  84.429    0.944875    15.237    118.4   
1    91  84.3954   0.940738    15.1703   118.4   
1    92  84.2092   0.957674    15.4435   118.4   
1    93  84.6064   0.952191    15.355    118.4   
1    94  84.4436   0.958175    15.4515   118.4   
1    95  84.3558   0.967681    15.6048   118.4   
1    96  84.634    0.944286    15.2276   118.4   
1    97  84.2032   0.958841    15.4623   118.4   
1    98  84.7252   0.937144    15.1124   118.4   
1    99  84.7538   0.960069    15.4821   118.4   
1    100 84.7878   0.951327    15.3411   118.4   
Done run 1 of 29

Beginning Run 2 of 29
Run  RI  Mean      95% CI      SD        Best    
2    0   20.4098   0.193597    3.12195   34      
2    1   49.622    0.463471    7.47393   88.2    
2    2   70.8748   0.583939    9.41659   95.4    
2    3   75.2422   0.662835    10.6889   104.2   
2    4   76.3762   0.731824    11.8014   104.2   
2    5   77.8042   0.712458    11.4891   104.2   
2    6   78.4292   0.76231     12.293    108.4   
2    7   78.176    0.797899    12.8669   108.4   
2    8   78.6404   0.803381    12.9553   108.4   
2    9   79.0664   0.817769    13.1873   108.4   
2    10  79.421    0.829655    13.379    108.4   
2    11  79.893    0.816951    13.1742   108.4   
2    12  79.3494   0.831911    13.4154   108.4   
2    13  80.313    0.829857    13.3823   108.4   
2    14  80.2732   0.837354    13.5032   108.4   
2    15  80.4954   0.855204    13.791    108.6   
2    16  80.9602   0.824118    13.2897   108.6   
2    17  80.7      0.874827    14.1075   111     
2    18  81.0268   0.85542     13.7945   111     
2    19  81.2004   0.867565    13.9904   111     
2    20  81.3812   0.850617    13.7171   111     
