7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
1    95  160.887   2.07323     33.4329   229.4   
1    96  158.639   2.12507     34.2689   229.4   
1    97  159.933   2.03802     32.8651   229.4   
1    98  160.437   2.07967     33.5367   229.4   
1    99  160.038   2.06772     33.344    229.4   
1    100 160.709   2.05283     33.1039   229.4   
Done run 1 of 29

Beginning Run 2 of 29
Run  RI  Mean      95% CI      SD        Best    
2    0   24.5      0.200209    3.22857   37.8    
2    1   50.4736   0.483025    7.78927   108     
2    2   95.8912   0.956268    15.4208   163.2   
2    3   135.67    1.23592     19.9304   200     
2    4   143.815   1.43621     23.1603   200     
2    5   149.076   1.50174     24.2171   211.6   
2    6   150.34    1.59557     25.7301   211.6   
2    7   152.321   1.60334     25.8555   211.6   
2    8   152.485   1.64365     26.5054   214.4   
2    9   153.819   1.70062     27.4242   214.4   
2    10  154.38    1.7167      27.6835   214.4   
2    11  156.003   1.70175     27.4424   214.4   
2    12  155.267   1.72707     27.8507   214.4   
2    13  155.862   1.74691     28.1707   214.4   
2    14  154.858   1.80489     29.1056   215     
2    15  155.445   1.82884     29.4918   215     
2    16  155.756   1.83776     29.6356   215     
2    17  154.861   1.83182     29.54     215     
2    18  156.19    1.83211     29.5446   215     
2    19  156.61    1.84017     29.6747   215     
2    20  155.916   1.8392      29.659    215     
2    21  156.608   1.87428     30.2246   215     
2    22  155.491   1.86809     30.1248   215     
2    23  156.086   1.89187     30.5083   215     
2    24  156.386   1.90543     30.727    215     
2    25  156.355   1.87281     30.201    215     
2    26  156.008   1.88334     30.3708   215     
2    27  156.455   1.90324     30.6916   215     
2    28  156.298   1.91317     30.8517   215     
2    29  156.029   1.91133     30.8222   215     
2    30  156.23    1.91724     30.9175   215     
2    31  156.259   1.93079     31.1358   215     
2    32  157.542   1.87279     30.2006   215     
2    33  156.877   1.91984     30.9594   215     
2    34  156.504   1.94342     31.3396   215     
2    35  157.116   1.89975     30.6354   215     
2    36  157.951   1.84654     29.7774   215     
2    37  156.765   1.93756     31.2451   215     
2    38  157.485   1.90024     30.6432   215     
2    39  156.817   1.93715     31.2385   215     
2    40  157.43    1.93458     31.197    215     
2    41  157.287   2.00239     32.2905   215     
2    42  157.456   1.94227     31.3211   215     
2    43  156.962   1.93604     31.2206   221.6   
2    44  157.569   1.90367     30.6986   221.6   
2    45  157.426   1.94681     31.3942   221.6   
2    46  158.161   1.93833     31.2575   221.6   
2    47  157.42    1.95027     31.4501   221.6   
2    48  156.157   2.00368     32.3114   221.6   
2    49  157.072   1.96024     31.6109   221.6   
2    50  157.745   1.90236     30.6774   221.6   
2    51  158.215   1.97458     31.842    221.6   
2    52  157.445   2.00389     32.3147   221.6   
2    53  157.681   1.91734     30.919    221.6   
2    54  157.137   1.99268     32.134    221.6   
2    55  157.995   1.94732     31.4025   221.6   
2    56  157.607   1.97102     31.7847   221.6   
